ano,mes,porto,graos,outras,sugar
2019,1,8982718,800506.0,1997619,889629
2019,2,10069129,2937548.0,2076279,920730
2019,3,11384405,3639903.0,2248537,1059314
2019,4,10622636,2750788.0,2380832,877826
2019,5,10993739,2591502.0,2462693,1150923
2019,6,11576766,1939730.0,2402504,1302748
2019,7,12768816,1233609.0,2368729,1298517
2019,8,12087695,732406.0,2454342,1276442
2019,9,11569512,217678.0,2528762,1353095
2019,10,12789035,760068.0,2417486,1682261
2019,11,11029038,733810.0,2309749,1050817
2019,12,10211209,434475.0,2262733,1205212
2020,1,8313561,478563.0,2138413,961163
2020,2,10656082,2746803.0,2266627,989821
2020,3,12797069,4264775.0,2360322,1445705
2020,4,13489559,4611338.0,2238703,1079928
2020,5,13059582,3852405.0,1971544,2204208
2020,6,12364438,3353870.0,1815450,2010933
2020,7,13562672,1380702.0,2007749,2469043
2020,8,13733212,339649.0,2009313,3012721
2020,9,12171497,72260.0,2239153,2631737
2020,10,12479104,752.0,2380969,2854722
2020,11,12120248,2145.0,2488194,2111388
2020,12,11863636,33.0,2672085,1840169
2021,1,9191679,0.0,2387466,1328114
2021,2,10927391,2436412.0,2458697,1267010
2021,3,15165880,5471809.0,2797358,1642608
2021,4,13759731,5038539.0,2492432,1245171
2021,5,14085518,4156216.0,2655954,2174474
2021,6,13266867,2964497.0,2570504,2189096
2021,7,12627561,1417438.0,2538044,1943303
2021,8,12065864,184967.0,2716436,1967819
2021,9,11851872,309362.0,2641755,2153720
2021,10,10727397,221396.0,2577518,1602997
2021,11,11236948,457447.0,2345700,1660905
2021,12,12122710,679128.0,2849181,1133675
2022,1,10699933,657432.0,2334789,885592
2022,2,12899819,3739308.0,2358702,1183738
2022,3,15158796,5196606.0,2688111,1257786
2022,4,13792987,4410044.0,2612158,826560
2022,5,14237449,4166104.0,2629436,1506721
2022,6,14144786,3587047.0,2533082,2026189
2022,7,14583714,1260563.0,2782579,2115232
2022,8,14626795,786212.0,2910893,2455597
2022,9,13628573,586225.0,2857142,2079487
2022,10,14435754,611563.0,2770250,2249483
2022,11,12194405,408185.0,2208666,2199680
2022,12,12096273,137254.0,2251631,1554134
2023,1,10264000,135510.0,2219665,1202858
2023,2,10984021,3342727.0,2061989,914372
2023,3,15335855,6282631.0,2367633,967194
2023,4,13733548,4965297.0,2343433,737975
2023,5,15147383,5026677.0,2621683,1893886
2023,6,15606575,4946112.0,2392220,2369320
2023,7,15350872,2091332.0,2659588,2213173
2023,8,15159598,973236.0,2712680,2413997
2023,9,16212702,863909.0,2574514,2719120
2023,10,14355535,604311.0,2437868,1899776
2023,11,15725097,691016.0,2541534,2485953
2023,12,15616439,724894.0,2585990,2683827
